,artist_name,artist_unique_id,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,moma_count,moma_count_to_date,whitney_count,whitney_count_to_date
114,Anselm Kiefer,32,14,2013,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4172252785,0,2,0,0
115,Anselm Kiefer,32,15,2016,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3650688109,0,2,0,0
116,Anselm Kiefer,32,16,2020,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3582934462,0,2,0,0
117,Antoine Jean Gros,33,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7380389747,0,0,0,0
118,Antoine Jean Gros,33,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7498771499,0,0,0,0
119,Antoine Jean Gros,33,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6194940895,0,0,0,0
120,Antoine Jean Gros,33,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.9403185326,0,0,0,0
121,Antoine Jean Gros,33,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7055878045,0,0,0,0
122,Antoine Jean Gros,33,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4130998261,0,0,0,0
123,Antoine Jean Gros,33,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,1.120159373,0,0,0,0
124,Antoine Jean Gros,33,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4456406046,0,0,0,0
125,Antoine Jean Gros,33,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5067110474,0,0,0,0
126,Antoine Jean Gros,33,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7292620159,0,0,0,0
127,Antoine Jean Gros,33,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6728003711,0,0,0,0
128,Antoine Jean Gros,33,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5395342415,0,0,0,0
129,Arnold Böcklin,36,7,1980,Swiss,Other,Male,White,Not Hispanic or Latinx,gardner,0.4235857022,0,0,0,0
130,Arshile Gorky,37,14,2013,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.36287427,0,9,0,13
131,Arshile Gorky,37,15,2016,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.4458945415,0,9,1,14
132,Arshile Gorky,37,16,2020,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.4347385862,0,9,0,16
133,Arthur B. Davies,38,1,1926,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3973601261,0,0,0,0
134,Arthur Dove,39,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4379825251,0,3,0,9
135,Arthur Dove,39,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3123550332,0,3,1,11
136,Arthur Dove,39,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3796944035,0,3,0,11
137,Aubrey Beardsley,40,8,1986,British,British,Male,White,Not Hispanic or Latinx,gardner,0.746174056,0,2,0,0
138,Aubrey Beardsley,40,10,1996,British,British,Male,White,Not Hispanic or Latinx,gardner,0.3182019713,0,2,0,0
139,Aubrey Beardsley,40,11,2001,British,British,Male,White,Not Hispanic or Latinx,gardner,0.5154008687,0,2,0,0
140,Aubrey Beardsley,40,12,2005,British,British,Male,White,Not Hispanic or Latinx,gardner,0.2144117021,0,2,0,0
141,Aubrey Beardsley,40,13,2009,British,British,Male,White,Not Hispanic or Latinx,gardner,0.264589401,0,2,0,0
142,Audrey Flack,41,11,2001,American,American,Female,White,Not Hispanic or Latinx,gardner,0.788567687,0,0,0,1
143,Audrey Flack,41,12,2005,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3611440562,0,0,0,1
144,Audrey Flack,41,13,2009,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2694281355,0,0,0,1
145,Audrey Flack,41,14,2013,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3978241105,0,0,0,1
146,Audrey Flack,41,15,2016,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2930570589,0,0,0,1
147,Audrey Flack,41,16,2020,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2939218213,0,0,0,2
148,August Sander,42,9,1991,German,German,Male,White,Not Hispanic or Latinx,gardner,0.6876470559,0,3,0,0
149,Auguste Renoir,43,1,1926,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5436613475,0,0,0,0
150,Auguste Renoir,43,2,1936,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7485123708,0,0,0,0
151,Auguste Renoir,43,3,1948,French,French,Male,White,Not Hispanic or Latinx,gardner,0.670695193,0,0,0,0
152,Auguste Renoir,43,4,1959,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6456773499,0,1,0,0
153,Auguste Renoir,43,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.8916911274,0,1,0,0
154,Auguste Renoir,43,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.8879179575,0,1,0,0
155,Auguste Renoir,43,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5754995778,0,1,0,0
156,Auguste Renoir,43,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,1.062581316,0,1,0,0
157,Auguste Renoir,43,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6885835366,0,1,0,0
158,Auguste Renoir,43,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6021281675,0,1,0,0
159,Auguste Renoir,43,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.9855946462,0,1,0,0
