artist_name,edition_number,year,artist_nationality,artist_nationality_other,artist_gender,artist_race,artist_ethnicity,book,space_ratio_per_page_total,artist_unique_id
Anselm Kiefer,9,1991,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4305596107,32
Anselm Kiefer,10,1996,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4505473892,32
Anselm Kiefer,11,2001,German,German,Male,White,Not Hispanic or Latinx,gardner,0.5145843174,32
Anselm Kiefer,12,2005,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3830854849,32
Anselm Kiefer,13,2009,German,German,Male,White,Not Hispanic or Latinx,gardner,0.400859877,32
Anselm Kiefer,14,2013,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4172252785,32
Anselm Kiefer,15,2016,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3650688109,32
Anselm Kiefer,16,2020,German,German,Male,White,Not Hispanic or Latinx,gardner,0.3582934462,32
Antoine Jean Gros,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7380389747,33
Antoine Jean Gros,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7498771499,33
Antoine Jean Gros,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6194940895,33
Antoine Jean Gros,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6439283986,33
Antoine Jean Gros,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3675263585,33
Antoine Jean Gros,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4130998261,33
Antoine Jean Gros,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4700047237,33
Antoine Jean Gros,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4456406046,33
Antoine Jean Gros,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5067110474,33
Antoine Jean Gros,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7292620159,33
Antoine Jean Gros,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6728003711,33
Antoine Jean Gros,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5395342415,33
Arnold Böcklin,7,1980,Swiss,Other,Male,White,Not Hispanic or Latinx,gardner,0.4235857022,36
Arshile Gorky,14,2013,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.36287427,37
Arshile Gorky,15,2016,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.4458945415,37
Arshile Gorky,16,2020,Armenian-American,Other,Male,White,Not Hispanic or Latinx,gardner,0.4347385862,37
Arthur B. Davies,1,1926,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3973601261,38
Arthur Dove,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4379825251,39
Arthur Dove,15,2016,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3123550332,39
Arthur Dove,16,2020,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3796944035,39
Aubrey Beardsley,8,1986,British,British,Male,White,Not Hispanic or Latinx,gardner,0.426428917,40
Aubrey Beardsley,10,1996,British,British,Male,White,Not Hispanic or Latinx,gardner,0.3182019713,40
Aubrey Beardsley,11,2001,British,British,Male,White,Not Hispanic or Latinx,gardner,0.2157534247,40
Aubrey Beardsley,12,2005,British,British,Male,White,Not Hispanic or Latinx,gardner,0.2144117021,40
Aubrey Beardsley,13,2009,British,British,Male,White,Not Hispanic or Latinx,gardner,0.264589401,40
Audrey Flack,11,2001,American,American,Female,White,Not Hispanic or Latinx,gardner,0.452231932,41
Audrey Flack,12,2005,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3611440562,41
Audrey Flack,13,2009,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2694281355,41
Audrey Flack,14,2013,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3978241105,41
Audrey Flack,15,2016,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2930570589,41
Audrey Flack,16,2020,American,American,Female,White,Not Hispanic or Latinx,gardner,0.2939218213,41
August Sander,9,1991,German,German,Male,White,Not Hispanic or Latinx,gardner,0.4114841849,42
Auguste Renoir,1,1926,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5436613475,43
Auguste Renoir,2,1936,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7485123708,43
Auguste Renoir,3,1948,French,French,Male,White,Not Hispanic or Latinx,gardner,0.670695193,43
Auguste Renoir,4,1959,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6456773499,43
Auguste Renoir,5,1970,French,French,Male,White,Not Hispanic or Latinx,gardner,0.8916911274,43
Auguste Renoir,6,1975,French,French,Male,White,Not Hispanic or Latinx,gardner,0.8879179575,43
Auguste Renoir,7,1980,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5754995778,43
Auguste Renoir,8,1986,French,French,Male,White,Not Hispanic or Latinx,gardner,0.594305066,43
Auguste Renoir,9,1991,French,French,Male,White,Not Hispanic or Latinx,gardner,0.3576642336,43
Auguste Renoir,10,1996,French,French,Male,White,Not Hispanic or Latinx,gardner,0.6021281675,43
Auguste Renoir,11,2001,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4673919462,43
Auguste Renoir,12,2005,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4755496761,43
Auguste Renoir,13,2009,French,French,Male,White,Not Hispanic or Latinx,gardner,0.4148059113,43
Auguste Renoir,14,2013,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5415067881,43
Auguste Renoir,15,2016,French,French,Male,White,Not Hispanic or Latinx,gardner,0.7689036648,43
Auguste Renoir,16,2020,French,French,Male,White,Not Hispanic or Latinx,gardner,0.5856498527,43
Barbara Kruger,9,1991,American,American,Female,White,Not Hispanic or Latinx,gardner,0.4041849148,45
Barbara Kruger,10,1996,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3616520583,45
Barbara Kruger,11,2001,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3324870099,45
Barbara Kruger,12,2005,American,American,Female,White,Not Hispanic or Latinx,gardner,0.28262324,45
Barbara Kruger,13,2009,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3224538856,45
Barbara Kruger,14,2013,American,American,Female,White,Not Hispanic or Latinx,gardner,0.3984096898,45
Barbara Kruger,15,2016,American,American,Female,White,Not Hispanic or Latinx,gardner,0.432472553,45
Barbara Kruger,16,2020,American,American,Female,White,Not Hispanic or Latinx,gardner,0.4360272459,45
Barnett Newman,7,1980,American,American,Male,White,Not Hispanic or Latinx,gardner,0.5289895863,46
Barnett Newman,8,1986,American,American,Male,White,Not Hispanic or Latinx,gardner,0.4267572051,46
Barnett Newman,9,1991,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3642822384,46
Barnett Newman,10,1996,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3999693053,46
Barnett Newman,11,2001,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3553229806,46
Barnett Newman,12,2005,American,American,Male,White,Not Hispanic or Latinx,gardner,0.2499771919,46
Barnett Newman,13,2009,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3947883439,46
Barnett Newman,14,2013,American,American,Male,White,Not Hispanic or Latinx,gardner,0.3962214723,46
