ArtistName,EditionNumber,NumberofWorldCatPublications,ArtistUniqueID ,ArtistNationality,ArtistGender,ArtistRace,ArtistEthnicity,TitleofWork,Year,WidthofActualWork(cm),HeightofWorkinJanson(cm),WidthofWorkinJanson(cm),LengthofText(cm),WidthofText(cm),AreaWorkinJanson(cm^2),AreaTextinJanson(cm^2),TotalSpace(cm^2),PageArea(cm^2),SpaceRatioPerPage,Book,,,,,,,,,,,WidthofActualWork(in),,HeightofWorkinJanson(in inches),WidthofWorkinJanson(in),LengthofText(in),WidthofText(in)
Carleton Watkins,8,,40,American,Male,White,Not Hispanic or Latinx,Yosemite Valley from the Best General View,2011,52.07,11.7475,13.335,26.67,8.89,156.6529125,237.0963,393.7492125,616.59,0.638591629,janson,,,,,,,,,,,20.5,,4.625,5.25,10.5,3.5
Caspar David Friedrich,1,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1963,128.27,8.4582,13.335,16.51,8.255,112.790097,136.29005,249.080147,631.47,0.3944449412,janson,,,,,,,,,,,50.5,,3.33,5.25,6.5,3.25
Caspar David Friedrich,1.1,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1969,128.27,8.4582,13.335,16.51,8.255,112.790097,136.29005,249.080147,635.1,0.3921904377,janson,,,,,,,,,,,50.5,,3.33,5.25,6.5,3.25
Caspar David Friedrich,2,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1977,128.27,9.8425,13.335,15.24,8.255,131.2497375,125.8062,257.0559375,611.1,0.4206446367,janson,,,,,,,,,,,50.5,,3.875,5.25,6,3.25
Caspar David Friedrich,3,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1986,128.27,9.8425,13.335,10.16,8.89,131.2497375,90.3224,221.5721375,599.96,0.3693115166,janson,,,,,,,,,,,50.5,,3.875,5.25,4,3.5
Caspar David Friedrich,4,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1991,128.27,10.4775,13.97,15.24,8.89,146.370675,135.4836,281.854275,592.8,0.4754626771,janson,,,,,,,,,,,50.5,,4.125,5.5,6,3.5
Caspar David Friedrich,5,,41,German,Male,White,Not Hispanic or Latinx,Abbey in an Oak Forest,1995,173.99,11.1125,17.4625,8.255,8.89,194.0520313,73.38695,267.4389813,618.45,0.4324342813,janson,,,,,,,,,,,68.5,,4.375,6.875,3.25,3.5
Caspar David Friedrich,5,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,1995,128.27,10.16,13.97,10.16,8.89,141.9352,90.3224,232.2576,618.45,0.375547902,janson,,,,,,,,,,,50.5,,4,5.5,4,3.5
Caspar David Friedrich,6,,41,German,Male,White,Not Hispanic or Latinx,Abbey in an Oak Forest,2001,173.99,11.1125,17.4625,8.89,8.89,194.0520313,79.0321,273.0841313,640.2,0.4265606549,janson,,,,,,,,,,,68.5,,4.375,6.875,3.5,3.5
Caspar David Friedrich,6,,41,German,Male,White,Not Hispanic or Latinx,The Polar Sea,2001,128.27,10.795,13.97,10.16,8.89,150.80615,90.3224,241.12855,640.2,0.3766456576,janson,,,,,,,,,,,50.5,,4.25,5.5,4,3.5
Caspar David Friedrich,7,,41,German,Male,White,Not Hispanic or Latinx,Abbey in an Oak Forest,2007,173.99,10.4775,16.51,20.32,8.89,172.983525,180.6448,353.628325,623.5,0.5671665196,janson,,,,,,,,,,,68.5,,4.125,6.5,8,3.5
Caspar David Friedrich,7,,41,German,Male,White,Not Hispanic or Latinx,Monk by the Sea,2007,170.18,5.715,8.89,20.32,8.89,50.80635,180.6448,231.45115,623.5,0.3712127506,janson,,,,,,,,,,,67,,2.25,3.5,8,3.5
Caspar David Friedrich,8,,41,German,Male,White,Not Hispanic or Latinx,Abbey in an Oak Forest,2011,173.99,10.4775,16.51,39.37,8.89,172.983525,349.9993,522.982825,616.59,0.8481857069,janson,,,,,,,,,,,68.5,,4.125,6.5,15.5,3.5
Chaïm Soutine,1,,42,Russian,Male,White,Not Hispanic or Latinx,Dead Fowl,1963,62.23,13.0175,8.255,6.35,8.255,107.4594625,52.41925,159.8787125,631.47,0.2531849692,janson,,,,,,,,,,,24.5,,5.125,3.25,2.5,3.25
Chaïm Soutine,1.1,,42,Russian,Male,White,Not Hispanic or Latinx,Dead Fowl,1969,62.23,13.0175,8.255,6.35,8.255,107.4594625,52.41925,159.8787125,635.1,0.2517378562,janson,,,,,,,,,,,24.5,,5.125,3.25,2.5,3.25
Chaïm Soutine,2,,42,Russian,Male,White,Not Hispanic or Latinx,Dead Fowl,1977,62.23,25.7175,16.51,5.08,8.255,424.595925,41.9354,466.531325,611.1,0.763428776,janson,,,,,,,,,,,24.5,,10.125,6.5,2,3.25
Chaïm Soutine,3,,42,Russian,Male,White,Not Hispanic or Latinx,Dead Fowl,1986,62.23,25.7175,16.51,5.08,8.89,424.595925,45.1612,469.757125,599.96,0.7829807404,janson,,,,,,,,,,,24.5,,10.125,6.5,2,3.5
Charles Demuth,1,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1963,76.2,21.9075,18.0975,5.715,8.255,396.4709813,47.177325,443.6483063,631.47,0.7025643439,janson,,,,,,,,,,,30,,8.625,7.125,2.25,3.25
Charles Demuth,1.1,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1969,76.2,21.9075,18.0975,5.715,8.255,396.4709813,47.177325,443.6483063,635.1,0.6985487423,janson,,,,,,,,,,,30,,8.625,7.125,2.25,3.25
Charles Demuth,2,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1977,76.2,21.9075,18.0975,5.08,8.255,396.4709813,41.9354,438.4063813,611.1,0.717405304,janson,,,,,,,,,,,30,,8.625,7.125,2,3.25
Charles Demuth,3,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1986,76.2,21.9075,18.0975,8.89,8.89,396.4709813,79.0321,475.5030813,599.96,0.7925579726,janson,,,,,,,,,,,30,,8.625,7.125,3.5,3.5
Charles Demuth,4,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1991,75.565,10.795,8.89,7.62,8.89,95.96755,67.7418,163.70935,592.8,0.2761628711,janson,,,,,,,,,,,29.75,,4.25,3.5,3,3.5
Charles Demuth,5,,43,American,Male,White,Not Hispanic or Latinx,I Saw the Figure 5 in Gold,1995,75.565,10.795,8.89,6.35,8.89,95.96755,56.4515,152.41905,618.45,0.2464533107,janson,,,,,,,,,,,29.75,,4.25,3.5,2.5,3.5
